task_id,passed,error_type,time_ms,test_count,tests_passed,complexity,output
HumanEval/0,True,None,854.4285297393799,7,7,Hard,
HumanEval/1,False,SyntaxError,472.7926254272461,4,0,Hard,"File ""/tmp/test"", line 29
    return True, ""Test 1 passed""
    ^
SyntaxError: invalid syntax"
HumanEval/2,True,None,559.0968132019043,3,3,Easy,
HumanEval/3,True,None,526.0286331176758,6,6,Medium,
HumanEval/4,True,None,525.6209373474121,3,3,Easy,
HumanEval/5,True,None,511.96932792663574,3,3,Hard,
HumanEval/6,True,None,481.89449310302734,3,3,Hard,
HumanEval/7,True,None,580.2233219146729,4,4,Easy,
HumanEval/8,True,None,493.06344985961914,5,5,Medium,
HumanEval/9,True,None,639.4209861755371,4,4,Hard,
HumanEval/10,False,Other,500.81920623779297,5,1,Medium,"JSON_RESULTS:{""total_tests"": 5, ""passed"": 1, ""failed"": 4, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert make_palindrome('jerry') == 'je"
HumanEval/11,True,None,498.73876571655273,3,3,Hard,
HumanEval/12,True,None,531.06689453125,3,3,Hard,
HumanEval/13,True,None,535.9101295471191,4,4,Medium,
HumanEval/14,True,None,477.19478607177734,3,3,Medium,
HumanEval/15,True,None,496.34599685668945,3,3,Easy,
HumanEval/16,True,None,588.7556076049805,5,5,Easy,
HumanEval/17,True,None,545.8271503448486,5,5,Medium,
HumanEval/18,True,None,458.4963321685791,4,4,Medium,
HumanEval/19,True,None,468.3837890625,5,5,Hard,
HumanEval/20,True,None,490.4630184173584,5,5,Hard,
HumanEval/21,True,None,488.08836936950684,5,5,Medium,
HumanEval/22,True,None,486.0100746154785,3,3,Easy,
HumanEval/23,True,None,435.3454113006592,3,3,Easy,
HumanEval/24,True,None,430.1257133483887,5,5,Medium,
HumanEval/25,True,None,497.9519844055176,8,8,Hard,
HumanEval/26,True,None,461.00330352783203,3,3,Medium,
HumanEval/27,True,None,452.9247283935547,3,3,Easy,
HumanEval/28,True,None,545.4726219177246,3,3,Easy,
HumanEval/29,True,None,498.4285831451416,2,2,Easy,
HumanEval/30,True,None,450.8235454559326,4,4,Easy,
HumanEval/31,True,None,455.4944038391113,13,13,Hard,
HumanEval/32,False,Other,459.18750762939453,1,0,Hard,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'poly' is not defined"", ""test_case"": {""assertion"": ""assert mat"
HumanEval/33,True,None,427.6242256164551,7,7,Easy,
HumanEval/34,True,None,481.50110244750977,1,1,Easy,
HumanEval/35,True,None,475.77500343322754,2,2,Medium,
HumanEval/36,True,None,459.1507911682129,8,8,Hard,
HumanEval/37,True,None,454.26249504089355,3,3,Hard,
HumanEval/38,False,Other,480.87167739868164,1,0,Easy,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'encoded_str' is not defined"", ""test_case"": {""assertion"": ""ass"
HumanEval/39,True,None,465.3053283691406,10,10,Hard,
HumanEval/40,True,None,428.22885513305664,9,9,Hard,
HumanEval/41,True,None,502.2165775299072,5,5,Easy,
HumanEval/42,True,None,438.36188316345215,3,3,Easy,
HumanEval/43,True,None,462.7974033355713,9,9,Hard,
HumanEval/44,False,Other,452.63004302978516,7,6,Medium,"JSON_RESULTS:{""total_tests"": 7, ""passed"": 6, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert change_base(x, x + 1) == str(x)"
HumanEval/45,True,None,441.572904586792,3,3,Easy,
HumanEval/46,True,None,459.58971977233887,4,4,Hard,
HumanEval/47,True,None,430.48930168151855,5,5,Medium,
HumanEval/48,True,None,441.51782989501953,7,7,Medium,
HumanEval/49,True,None,458.57691764831543,7,7,Medium,
HumanEval/50,False,Other,468.5657024383545,1,0,Easy,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'copy' is not defined"", ""test_case"": {""assertion"": ""assert dec"
