task_id,passed,error_type,time_ms,test_count,tests_passed,complexity,output
HumanEval/0,True,None,460.665225982666,7,7,Hard,
HumanEval/1,False,SyntaxError,368.6795234680176,4,0,Hard,"File ""/tmp/test"", line 29
    return True, ""Test 1 passed""
    ^
SyntaxError: invalid syntax"
HumanEval/2,True,None,441.2262439727783,3,3,Easy,
HumanEval/3,True,None,471.4498519897461,6,6,Medium,
HumanEval/4,True,None,514.7993564605713,3,3,Easy,
HumanEval/5,True,None,452.1501064300537,3,3,Hard,
HumanEval/6,True,None,456.40110969543457,3,3,Hard,
HumanEval/7,True,None,473.8655090332031,4,4,Easy,
HumanEval/8,True,None,493.09301376342773,5,5,Medium,
HumanEval/9,True,None,556.7934513092041,4,4,Hard,
HumanEval/10,False,Other,454.29253578186035,5,1,Medium,"JSON_RESULTS:{""total_tests"": 5, ""passed"": 1, ""failed"": 4, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert make_palindrome('jerry') == 'je"
HumanEval/11,True,None,461.63320541381836,3,3,Hard,
HumanEval/12,True,None,465.78001976013184,3,3,Hard,
HumanEval/13,True,None,463.47713470458984,4,4,Medium,
HumanEval/14,True,None,521.3675498962402,3,3,Medium,
HumanEval/15,True,None,429.63719367980957,3,3,Easy,
HumanEval/16,True,None,432.61218070983887,5,5,Easy,
HumanEval/17,True,None,539.6630764007568,5,5,Medium,
HumanEval/18,True,None,477.7669906616211,4,4,Medium,
HumanEval/19,True,None,466.508150100708,5,5,Hard,
HumanEval/20,True,None,532.4873924255371,5,5,Hard,
HumanEval/21,True,None,453.8402557373047,5,5,Medium,
HumanEval/22,True,None,452.95071601867676,3,3,Easy,
HumanEval/23,True,None,498.89492988586426,3,3,Easy,
HumanEval/24,True,None,437.58225440979004,5,5,Medium,
HumanEval/25,True,None,444.0898895263672,8,8,Hard,
HumanEval/26,True,None,464.2016887664795,3,3,Medium,
HumanEval/27,True,None,472.82934188842773,3,3,Easy,
HumanEval/28,True,None,456.5436840057373,3,3,Easy,
HumanEval/29,True,None,501.1117458343506,2,2,Easy,
HumanEval/30,True,None,437.49141693115234,4,4,Easy,
HumanEval/31,True,None,454.1139602661133,13,13,Hard,
HumanEval/32,False,Other,444.3361759185791,1,0,Hard,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'poly' is not defined"", ""test_case"": {""assertion"": ""assert mat"
HumanEval/33,True,None,454.2717933654785,7,7,Easy,
HumanEval/34,True,None,421.39315605163574,1,1,Easy,
HumanEval/35,True,None,521.169900894165,2,2,Medium,
HumanEval/36,True,None,471.0192680358887,8,8,Hard,
HumanEval/37,True,None,509.2446804046631,3,3,Hard,
HumanEval/38,False,Other,453.4308910369873,1,0,Easy,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'encoded_str' is not defined"", ""test_case"": {""assertion"": ""ass"
HumanEval/39,True,None,489.22038078308105,10,10,Hard,
HumanEval/40,True,None,475.8422374725342,9,9,Hard,
HumanEval/41,True,None,433.4065914154053,5,5,Easy,
HumanEval/42,True,None,523.108959197998,3,3,Easy,
HumanEval/43,True,None,447.13306427001953,9,9,Hard,
HumanEval/44,False,Other,449.34988021850586,7,6,Medium,"JSON_RESULTS:{""total_tests"": 7, ""passed"": 6, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert change_base(x, x + 1) == str(x)"
HumanEval/45,True,None,440.75512886047363,3,3,Easy,
HumanEval/46,True,None,520.2584266662598,4,4,Hard,
HumanEval/47,True,None,492.6762580871582,5,5,Medium,
HumanEval/48,True,None,455.4479122161865,7,7,Medium,
HumanEval/49,True,None,531.2139987945557,7,7,Medium,
HumanEval/50,False,Other,479.45165634155273,1,0,Easy,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'copy' is not defined"", ""test_case"": {""assertion"": ""assert dec"
HumanEval/51,True,None,445.9495544433594,7,7,Easy,
HumanEval/52,True,None,426.56493186950684,6,6,Medium,
HumanEval/53,False,Other,430.9670925140381,6,5,Easy,"JSON_RESULTS:{""total_tests"": 6, ""passed"": 5, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert add(x, y) == x + y""}}, {""test_i"
HumanEval/54,True,None,463.0749225616455,7,7,Easy,
HumanEval/55,True,None,443.47286224365234,5,5,Medium,
HumanEval/56,True,None,454.0529251098633,12,12,Hard,
HumanEval/57,True,None,504.03714179992676,8,8,Easy,
HumanEval/58,True,None,533.5550308227539,4,4,Hard,
HumanEval/59,True,None,480.2253246307373,5,5,Hard,
HumanEval/60,True,None,448.2276439666748,5,5,Easy,
HumanEval/61,True,None,483.40654373168945,12,12,Hard,
HumanEval/62,True,None,433.75158309936523,5,5,Easy,
HumanEval/63,True,None,453.5484313964844,7,7,Hard,
HumanEval/64,True,None,443.9253807067871,8,8,Medium,
HumanEval/65,True,None,463.4382724761963,5,5,Medium,
HumanEval/66,True,None,500.60176849365234,10,10,Medium,
HumanEval/67,True,None,438.44032287597656,7,7,Medium,
HumanEval/68,True,None,460.3283405303955,10,10,Easy,
HumanEval/69,True,None,458.9395523071289,25,25,Hard,
HumanEval/70,True,None,450.38652420043945,10,10,Medium,
HumanEval/71,True,None,453.9797306060791,9,9,Medium,
HumanEval/72,True,None,471.76432609558105,6,6,Hard,
HumanEval/73,True,None,490.2043342590332,8,8,Medium,
HumanEval/74,True,None,459.2618942260742,11,11,Hard,
HumanEval/75,True,None,657.5090885162354,10,10,Hard,
HumanEval/76,True,None,438.74073028564453,10,10,Medium,
HumanEval/77,True,None,431.72383308410645,8,8,Easy,
HumanEval/78,True,None,526.1759757995605,7,7,Medium,
HumanEval/79,True,None,432.1303367614746,5,5,Easy,
HumanEval/80,True,None,512.4728679656982,8,8,Hard,
HumanEval/81,True,None,459.08665657043457,7,7,Hard,
HumanEval/82,True,None,466.17770195007324,16,16,Hard,
HumanEval/83,True,None,441.2872791290283,7,7,Easy,
HumanEval/84,True,None,464.1711711883545,7,7,Easy,
HumanEval/85,True,None,512.4990940093994,4,4,Easy,
HumanEval/86,True,None,538.0327701568604,8,8,Easy,
HumanEval/87,False,SyntaxError,445.2860355377197,7,0,Medium,"File ""/tmp/test"", line 12
    return True, ""Test 1 passed""
    ^
SyntaxError: invalid syntax"
HumanEval/88,True,None,441.6158199310303,9,9,Easy,
HumanEval/89,True,None,435.6727600097656,8,8,Hard,
HumanEval/90,True,None,550.8577823638916,8,8,Easy,
HumanEval/91,True,None,522.8793621063232,7,7,Medium,
HumanEval/92,True,None,489.102840423584,10,10,Medium,
HumanEval/93,True,None,435.0271224975586,5,5,Medium,
